name,population,area,covidcases
Bac Ninh,95770000,804,832
Ha Nam,800400,849,0
Ha Tay,2432000,2192,0
Hai Duong,1670800,1648,814
Hung Yen,1091000,928,0
Nam Dinh,1916400,1637,0
Ninh Binh,891800,1382,0
Thai Binh,1814700,1542,0
Vinh Phuc,1115700,1371,110
Ha Noi,2154900,921,660
Hai Phong,1711100,1503,0
Bac Giang,1522000,3822,2147
Bac Kan,283000,4795,0
Cao Bang,501800,6691,0
Ha Giang,625700,7884,0
Lang Son,715300,8305,0
Phu Tho,1288400,3519,0
Quang Ninh,1029900,5899,0
Thai Nguyen,1046000,3563,0
Yen Bai,699900,6883,0
Dien Bien,440300,8544,0
Hoa Binh,774100,4663,0
Lai Chau,227600,7365,0
Son La,922200,14055,0
Tuyen Quang,692500,5868,0
Lao Cai,616500,8057,0
Dak Lak,1667000,13062,0
Dak Nong,363000,6514,0
Gia Lai,1048000,15496,0
Kon Tum,330700,9615,0
Lam Dong,1049900,9765,0
Ha Tinh,1284900,6056,0
Nghe An,2913600,16487,0
Quang Binh,812600,8025,0
Quang Tri,588600,4746,0
Thanh Hoa,3509600,11106,0
Hue,1078900,5009,0
Binh Dinh,1481000,6076,0
Khanh Hoa,1066300,5197,141
Phu Yen,811400,5045,0
Quang Nam,1402700,10408,119
Quang Ngai,1206400,5135,0
Binh Thuan,1079700,7828,0
Ninh Thuan,531700,3360,0
Da Nang,715000,1256,658
Vung Tau,839000,1975,108
Binh Duong,768100,2696,0
Binh Phuoc,708100,6856,0
Dong Nai,2067200,5895,0
Tay Ninh,989800,4028,0
Ho Chi Minh City,5378100,2095,429
An Giang,2099400,3406,0
Bac Lieu,756800,2521,0
Ben Tre,1308200,2287,0
Ca Mau,1158000,5192,0
Dong Thap,1592600,3238,0
Hau Giang,766000,1608,0
Kien Giang,1542800,6269,0
Long An,1384000,4492,0
Soc Trang,1213400,3223,0
Tien Giang,1635700,2367,0
Tra Vinh,989000,2226,0
Vinh Long,1023400,1475,0
Can Tho,1112000,1390,0	
